user_id,age,reels_watch_time_hours,daily_screen_time_hours,sleep_hours,attention_span_score,focus_level,task_completion_rate,stress_level,platform
2329,28,2.09,4.55,4.62,3.31,9.1,94.91,Medium,TikTok
2330,39,4.15,6.36,5.27,1.31,1.24,99.59,High,YouTube Shorts
2331,31,2.85,7.16,5.31,1.82,5.96,61.62,Low,YouTube Shorts
2332,43,5.39,2.97,6.85,6.33,6.43,89.34,Medium,TikTok
2333,35,5.15,9.44,6.05,8.8,7.39,59.72,Medium,Instagram Reels
2334,22,3.39,3.09,4.4,5.04,4.47,84.95,Low,TikTok
2335,29,4.3,6.05,7.15,6.63,8.37,96.87,Medium,YouTube Shorts
2336,41,5.36,10.05,4.5,8.29,5.86,49.3,High,YouTube Shorts
2337,28,3.23,6.68,7.03,4.21,4.68,48.42,High,YouTube Shorts
2338,32,2.22,10.42,6.54,6.89,7.47,46.26,Low,Instagram Reels
2339,34,4.65,5.42,6.47,4.15,9.35,87.9,High,TikTok
2340,21,1.71,11.58,4.34,6.78,8.31,80.0,Medium,Instagram Reels
2341,17,2.64,4.09,7.2,2.96,9.38,71.34,High,YouTube Shorts
2342,43,5.26,2.38,6.16,9.8,3.39,86.43,Low,YouTube Shorts
2343,26,4.48,10.72,6.06,1.69,2.07,91.0,High,Instagram Reels
2344,35,2.72,9.52,6.98,5.55,5.81,96.97,Medium,TikTok
2345,38,1.68,4.32,7.03,3.58,1.4,52.08,Medium,Instagram Reels
2346,42,2.46,11.85,4.08,6.41,7.07,66.5,High,YouTube Shorts
2347,40,2.06,7.02,4.63,4.85,3.16,95.38,Low,TikTok
2348,17,1.47,11.51,5.18,3.76,5.09,67.68,Low,TikTok
2349,34,4.59,7.05,7.39,3.25,6.9,69.26,High,TikTok
2350,28,1.89,6.72,6.88,2.64,5.35,96.55,Low,YouTube Shorts
2351,29,3.0,6.49,7.79,8.05,3.12,84.08,Medium,YouTube Shorts
2352,39,2.62,5.35,7.7,3.0,8.92,73.12,Low,YouTube Shorts
2353,44,5.9,7.34,8.27,7.96,7.88,61.44,High,YouTube Shorts
2354,28,2.65,6.53,5.88,5.37,6.41,94.92,Medium,Instagram Reels
2355,21,0.94,2.37,5.73,1.65,7.29,40.54,Medium,TikTok
2356,31,0.99,4.6,8.16,2.49,4.74,59.26,High,Instagram Reels
2357,44,3.75,4.13,5.19,9.04,4.38,96.76,Low,YouTube Shorts
2358,26,3.8,10.67,6.31,6.43,2.44,69.89,Low,YouTube Shorts
2359,34,2.8,7.99,4.97,2.66,8.23,77.43,Medium,TikTok
2360,18,2.88,9.64,8.57,7.33,4.43,71.96,Medium,TikTok
2361,23,0.8,11.57,6.04,8.41,7.23,63.84,High,YouTube Shorts
2362,20,3.34,8.44,5.06,3.98,3.7,79.92,Low,YouTube Shorts
2363,30,3.28,11.83,7.46,6.01,8.16,85.99,Medium,TikTok
2364,39,1.32,5.12,5.22,3.64,1.95,61.87,Low,YouTube Shorts
2365,42,1.07,3.86,8.72,1.72,6.63,75.43,High,Instagram Reels
2366,36,1.18,6.03,5.84,4.6,8.27,44.97,Medium,Instagram Reels
2367,36,1.06,6.71,7.32,7.76,6.94,72.86,High,TikTok
2368,35,3.85,10.95,5.73,5.13,7.27,84.86,Low,Instagram Reels
2369,35,1.58,7.6,8.04,4.65,5.73,75.11,Low,YouTube Shorts
2370,16,1.88,4.92,8.48,4.29,6.03,92.71,Medium,TikTok
2371,38,1.45,9.43,7.94,5.13,1.59,57.17,Medium,YouTube Shorts
2372,22,5.77,7.06,8.24,3.86,3.26,69.51,High,YouTube Shorts
2373,25,5.2,3.62,4.51,6.51,7.5,45.25,Medium,TikTok
2374,27,1.77,7.77,8.62,1.57,9.51,82.0,Low,YouTube Shorts
2375,31,2.3,11.11,7.12,8.27,5.88,66.57,Medium,Instagram Reels
2376,22,1.65,10.43,8.35,2.56,7.53,71.82,Low,YouTube Shorts
2377,35,3.21,7.87,7.42,6.7,7.15,47.7,Medium,Instagram Reels
2378,32,0.61,5.77,5.01,5.05,9.99,99.84,High,YouTube Shorts
2379,44,4.19,2.87,7.05,7.96,8.16,86.32,High,TikTok
2380,32,3.38,6.7,4.45,8.44,6.65,64.04,Low,YouTube Shorts
2381,28,5.44,9.52,7.48,2.84,2.04,74.2,High,TikTok
2382,29,1.4,5.6,6.05,7.09,4.26,77.12,Medium,TikTok
2383,20,4.92,4.35,4.76,2.71,3.26,97.65,Low,YouTube Shorts
2384,25,4.86,11.31,8.9,2.12,8.68,86.1,Medium,Instagram Reels
2385,27,1.2,10.22,8.51,9.37,5.02,60.98,Low,YouTube Shorts
2386,39,2.69,8.38,8.47,2.48,5.82,98.66,Low,Instagram Reels
2387,15,1.44,3.37,7.94,3.05,9.68,58.11,Low,YouTube Shorts
2388,42,1.9,3.45,7.46,2.17,8.53,74.62,High,Instagram Reels
2389,20,1.95,3.03,7.28,5.23,8.11,82.04,High,TikTok
2390,23,3.56,8.16,4.53,9.28,2.28,56.27,High,Instagram Reels
2391,22,2.76,3.16,8.5,3.38,1.2,97.38,Low,TikTok
2392,25,5.71,10.43,8.41,5.88,2.13,52.97,High,TikTok
2393,36,1.2,11.93,7.74,4.7,7.66,66.51,High,YouTube Shorts
2394,33,5.86,5.66,8.64,4.02,4.7,50.79,Low,TikTok
2395,38,1.77,6.54,6.77,6.15,2.06,92.5,High,TikTok
2396,23,4.75,9.12,6.24,6.03,7.65,53.3,Low,YouTube Shorts
2397,31,2.36,11.37,8.84,4.23,2.75,42.08,High,Instagram Reels
2398,26,1.29,10.94,6.32,8.66,6.3,42.34,Low,YouTube Shorts
2399,39,5.22,2.58,7.21,1.48,7.67,64.83,Low,Instagram Reels
2400,28,2.2,3.69,5.87,1.77,6.47,71.37,Low,Instagram Reels
2401,29,4.12,9.55,7.18,9.92,9.94,42.5,High,YouTube Shorts
2402,30,3.62,8.89,7.6,7.73,4.91,45.57,Low,TikTok
2403,36,3.09,3.33,7.12,8.24,3.81,45.85,Low,Instagram Reels
2404,36,3.23,7.02,6.57,6.42,2.81,80.11,Medium,TikTok
2405,42,4.53,9.81,5.5,4.78,5.53,57.99,Medium,Instagram Reels
2406,34,0.98,4.19,7.22,6.66,8.67,73.75,Low,YouTube Shorts
2407,15,4.17,10.71,8.54,1.83,9.52,44.42,Low,Instagram Reels
2408,24,5.43,2.53,4.03,7.82,9.75,93.53,High,TikTok
2409,22,0.82,9.82,4.67,5.87,5.78,58.27,High,TikTok
2410,32,1.27,8.16,4.6,9.61,6.45,86.69,Low,TikTok
2411,42,4.44,5.15,8.62,6.74,6.23,89.6,High,YouTube Shorts
2412,15,2.91,9.21,7.31,2.37,5.19,99.27,High,YouTube Shorts
2413,16,2.72,9.82,8.76,5.3,2.37,84.46,Low,TikTok
2414,15,1.25,11.34,6.91,1.52,1.59,66.57,High,YouTube Shorts
2415,15,3.29,5.68,6.31,7.71,4.93,49.16,Medium,YouTube Shorts
2416,23,1.2,8.86,7.96,5.52,2.68,42.87,High,YouTube Shorts
2417,27,3.12,8.03,4.8,4.33,8.98,93.18,High,YouTube Shorts
2418,44,4.7,7.25,5.91,9.72,7.86,66.8,Low,YouTube Shorts
2419,15,1.92,10.9,6.33,9.47,6.57,85.0,High,YouTube Shorts
2420,27,3.14,2.03,5.49,9.58,1.43,69.78,Medium,YouTube Shorts
2421,34,5.96,4.82,5.86,2.99,6.6,92.78,Low,YouTube Shorts
2422,40,4.28,7.38,4.39,7.56,6.59,84.98,Medium,YouTube Shorts
2423,36,5.13,3.78,4.99,9.51,4.95,45.13,High,Instagram Reels
2424,21,2.78,11.08,5.68,6.14,6.92,85.13,Low,TikTok
2425,16,4.72,8.48,7.98,2.93,8.72,56.01,Low,YouTube Shorts
2426,20,0.72,6.78,4.91,8.36,7.82,86.38,Low,Instagram Reels
2427,21,1.18,10.15,5.73,8.92,5.26,96.91,Medium,Instagram Reels
2428,40,1.62,6.51,4.32,7.33,3.36,95.81,Low,Instagram Reels
2429,28,2.71,7.59,6.79,3.64,5.3,47.5,High,Instagram Reels
2430,40,5.15,2.03,7.06,2.72,9.51,43.28,Low,Instagram Reels
2431,32,2.4,5.66,8.33,6.62,8.38,86.62,Low,TikTok
2432,29,4.1,3.39,8.1,5.35,1.24,82.6,High,Instagram Reels
2433,16,4.4,8.9,5.43,7.02,8.05,50.57,Low,TikTok
2434,24,3.72,6.79,4.68,2.01,2.54,81.07,Low,Instagram Reels
2435,37,2.46,5.02,4.78,2.22,6.14,40.93,Medium,TikTok
2436,26,3.67,6.68,8.84,4.27,8.26,77.87,High,TikTok
2437,31,2.38,4.1,7.37,3.33,6.05,89.94,High,Instagram Reels
2438,22,0.96,11.25,4.21,6.57,4.63,78.51,Low,YouTube Shorts
2439,25,5.96,2.54,4.68,4.31,3.89,43.92,Medium,TikTok
2440,43,1.2,10.65,6.43,7.16,3.75,99.46,Medium,YouTube Shorts
2441,17,0.9,7.11,5.04,7.92,8.54,61.37,Medium,YouTube Shorts
2442,41,5.33,8.19,8.02,2.68,8.43,62.83,Medium,Instagram Reels
2443,20,2.16,5.03,6.87,9.28,8.41,45.09,Medium,YouTube Shorts
2444,23,4.08,11.67,7.06,8.08,3.54,50.03,High,TikTok
2445,20,2.31,4.82,6.31,6.64,8.19,56.27,Low,Instagram Reels
2446,23,2.65,7.89,5.28,9.18,1.33,87.95,High,YouTube Shorts
2447,21,1.94,11.93,6.95,3.39,2.86,81.5,High,YouTube Shorts
2448,23,2.39,10.81,7.58,4.8,5.63,75.02,High,Instagram Reels
2449,32,2.76,7.36,5.85,1.77,4.66,91.83,Medium,Instagram Reels
2450,26,4.46,11.9,6.52,5.11,2.01,99.87,Medium,Instagram Reels
2451,22,3.31,9.01,8.2,5.56,1.38,63.09,High,YouTube Shorts
2452,22,5.69,4.09,4.74,6.54,6.5,63.47,High,Instagram Reels
2453,32,0.73,6.06,6.73,1.58,3.82,84.17,Low,Instagram Reels
2454,42,3.27,5.34,5.74,1.29,1.14,78.66,Medium,Instagram Reels
2455,44,3.71,5.44,7.51,4.78,4.88,40.8,Low,TikTok
2456,34,5.56,9.6,4.09,2.7,3.76,79.33,Low,TikTok
2457,44,0.77,7.84,7.35,7.83,6.19,83.18,Medium,Instagram Reels
2458,29,3.65,2.38,4.51,7.02,9.37,99.16,Low,TikTok
2459,41,5.19,10.77,4.32,3.93,3.77,75.21,Medium,YouTube Shorts
2460,21,1.83,4.97,7.62,1.41,9.97,81.07,Low,Instagram Reels
2461,25,5.32,11.97,7.2,2.64,1.77,87.32,Low,YouTube Shorts
2462,34,0.6,11.54,8.47,7.23,1.79,45.76,Medium,Instagram Reels
2463,30,4.53,11.41,6.6,9.91,7.42,84.08,High,YouTube Shorts
2464,18,5.63,10.11,6.65,3.94,7.74,72.81,High,TikTok
2465,20,4.11,4.21,7.54,8.22,4.81,46.0,High,Instagram Reels
2466,40,2.91,7.33,5.62,8.8,3.57,80.19,High,Instagram Reels
2467,36,0.75,4.24,4.18,1.43,8.15,54.07,Medium,TikTok
2468,40,5.56,4.6,5.15,9.25,9.61,72.27,Low,YouTube Shorts
2469,17,3.09,8.11,5.19,5.2,9.91,56.86,Medium,Instagram Reels
2470,23,0.66,2.41,5.68,9.68,6.71,46.27,Medium,TikTok
2471,42,4.29,11.69,8.72,5.85,7.66,55.05,Medium,TikTok
2472,24,3.15,11.19,8.02,3.12,8.4,66.33,Low,TikTok
2473,28,1.18,5.81,8.68,9.77,8.19,69.65,High,TikTok
2474,25,1.68,7.15,8.99,3.19,9.94,48.91,Medium,YouTube Shorts
2475,32,0.85,6.66,6.17,8.94,8.29,59.26,Medium,Instagram Reels
2476,36,3.66,10.82,5.14,2.56,6.96,91.56,Low,Instagram Reels
2477,26,3.92,8.89,6.8,7.07,4.39,94.62,Low,TikTok
2478,37,3.28,4.78,8.41,4.7,6.38,72.11,Medium,TikTok
2479,26,4.99,6.47,6.33,9.75,8.92,69.42,Low,TikTok
2480,27,5.24,6.29,6.53,2.66,3.75,74.88,Medium,Instagram Reels
2481,39,3.89,11.59,4.67,4.68,1.28,52.87,Medium,Instagram Reels
2482,27,0.57,3.75,6.1,6.76,3.94,99.61,Medium,Instagram Reels
2483,33,4.32,2.9,5.93,9.8,9.64,84.72,Low,TikTok
2484,40,2.8,10.81,5.76,3.73,8.15,54.32,High,YouTube Shorts
2485,33,3.61,10.97,8.44,4.57,2.68,56.33,Medium,Instagram Reels
2486,37,4.07,10.72,4.3,5.16,1.11,78.9,Medium,YouTube Shorts
2487,28,2.43,7.11,8.86,3.27,7.02,59.37,Medium,Instagram Reels
2488,18,5.54,8.6,4.04,8.36,6.21,61.32,Medium,TikTok
2489,27,1.24,7.63,8.73,1.83,1.75,86.86,Medium,TikTok
2490,22,4.19,2.69,6.74,7.34,9.69,56.02,High,Instagram Reels
2491,43,0.52,7.96,7.51,5.81,6.56,82.31,Medium,TikTok
2492,37,5.59,2.14,4.94,3.18,6.86,96.09,Low,TikTok
2493,35,1.12,5.25,7.27,5.44,8.68,47.45,High,Instagram Reels
2494,37,1.02,11.32,8.41,8.47,4.03,48.66,Medium,YouTube Shorts
2495,33,2.33,5.04,4.7,5.01,6.02,96.57,High,YouTube Shorts
2496,26,2.55,11.4,4.64,2.1,6.19,52.21,Medium,TikTok
2497,32,1.68,4.5,5.52,1.37,9.71,41.25,High,TikTok
2498,20,3.72,5.15,4.81,8.0,2.18,92.11,Medium,YouTube Shorts
2499,32,2.94,8.28,4.55,3.97,7.83,56.94,Low,Instagram Reels
2500,33,0.69,9.62,7.39,9.38,6.18,57.9,Medium,Instagram Reels
2501,36,2.26,7.01,5.07,6.55,8.61,53.62,High,YouTube Shorts
2502,19,4.96,10.82,7.34,4.93,8.49,95.06,Low,TikTok
2503,38,4.29,2.4,8.31,6.08,1.11,86.47,High,Instagram Reels
2504,23,4.49,11.22,7.26,5.11,3.31,75.81,High,YouTube Shorts
2505,41,4.34,3.96,4.6,9.15,2.63,67.2,Medium,YouTube Shorts
2506,17,2.21,10.84,6.87,5.12,5.16,48.61,Low,TikTok
2507,42,1.05,6.01,5.97,1.94,9.15,95.56,Medium,YouTube Shorts
2508,24,2.0,10.33,5.72,6.37,1.05,84.98,High,YouTube Shorts
2509,33,5.07,8.72,5.59,6.61,5.39,56.73,Low,TikTok
2510,17,5.89,3.76,8.65,7.89,8.96,96.85,Medium,Instagram Reels
2511,43,3.22,11.18,7.71,9.4,9.34,96.11,High,YouTube Shorts
2512,43,0.55,4.46,4.67,4.99,6.92,79.57,Low,TikTok
2513,36,1.27,4.44,6.38,4.17,8.47,99.1,Medium,TikTok
2514,29,2.27,10.14,5.59,5.42,3.92,51.23,Low,Instagram Reels
2515,15,3.68,3.06,8.89,9.1,3.57,83.88,Low,YouTube Shorts
2516,21,0.91,4.22,8.89,9.82,1.44,49.13,Medium,YouTube Shorts
2517,26,5.69,7.04,5.6,9.74,5.53,81.5,High,YouTube Shorts
2518,31,2.51,10.3,5.76,3.07,5.1,95.19,Medium,YouTube Shorts
2519,44,5.52,3.47,7.0,5.47,4.35,72.17,Medium,YouTube Shorts
2520,35,4.79,7.48,6.4,3.34,2.02,85.78,Low,Instagram Reels
2521,40,4.65,9.11,5.07,4.31,3.08,48.59,Medium,YouTube Shorts
2522,43,3.84,10.61,7.3,1.29,2.83,77.99,Low,TikTok
2523,38,3.95,11.36,5.67,2.45,9.5,43.79,High,YouTube Shorts
2524,34,4.01,9.85,7.27,4.57,9.7,42.21,Low,Instagram Reels
2525,19,3.96,8.53,5.92,4.28,1.03,78.04,Medium,Instagram Reels
2526,18,3.55,6.34,7.5,3.51,2.53,74.37,Medium,YouTube Shorts
2527,42,5.93,3.12,7.34,3.07,9.0,59.76,Medium,YouTube Shorts
2528,26,4.53,9.1,6.54,7.74,1.35,70.78,High,TikTok
2529,44,4.77,11.93,7.52,3.65,9.49,81.06,Medium,TikTok
2530,34,5.3,9.37,6.3,7.36,4.42,78.68,Medium,YouTube Shorts
2531,42,1.69,2.17,4.58,4.32,5.85,44.42,Low,Instagram Reels
2532,38,0.96,6.96,4.91,8.22,7.87,80.69,Medium,TikTok
2533,32,3.16,8.15,5.23,2.51,3.2,79.57,Low,YouTube Shorts
2534,31,3.33,8.9,4.32,2.42,1.91,80.18,High,Instagram Reels
2535,33,5.06,9.2,7.56,7.12,8.29,90.84,Medium,Instagram Reels
2536,23,2.94,7.58,5.84,9.23,9.86,74.6,High,TikTok
2537,18,3.64,4.23,4.47,2.29,6.93,96.27,Medium,Instagram Reels
2538,40,3.4,11.42,8.1,1.66,8.43,98.8,Medium,YouTube Shorts
2539,35,0.71,8.97,7.42,9.41,9.47,85.11,Medium,YouTube Shorts
2540,16,3.88,4.37,6.26,2.06,3.06,61.52,Low,YouTube Shorts
2541,18,5.05,5.22,5.24,3.25,4.15,48.59,Low,YouTube Shorts
2542,16,1.37,11.22,4.76,9.37,2.97,89.21,Low,Instagram Reels
2543,29,3.77,10.87,6.29,8.23,1.56,48.8,Medium,Instagram Reels
2544,16,3.76,6.05,8.43,4.08,7.59,48.77,Medium,YouTube Shorts
2545,18,1.4,2.38,4.94,9.59,2.31,95.14,Medium,Instagram Reels
2546,20,1.18,2.48,6.84,6.11,1.83,73.59,Low,YouTube Shorts
2547,21,5.89,4.84,8.81,1.65,4.22,57.6,Low,YouTube Shorts
2548,24,2.67,8.29,7.19,7.33,1.55,97.78,High,TikTok
2549,33,1.75,7.84,6.2,5.84,2.62,82.44,Low,YouTube Shorts
2550,33,1.44,8.34,7.58,6.15,1.63,72.09,High,Instagram Reels
2551,40,4.17,9.17,8.12,9.95,8.9,59.77,High,Instagram Reels
2552,36,3.85,2.19,6.95,2.37,8.02,80.6,Low,Instagram Reels
2553,43,4.04,3.05,8.36,6.91,8.74,83.85,Medium,YouTube Shorts
2554,26,0.98,5.59,6.57,5.13,8.81,82.73,Low,TikTok
2555,17,5.41,3.55,8.15,3.45,9.5,51.72,High,TikTok
2556,27,2.64,2.75,8.76,7.24,2.68,81.83,Medium,YouTube Shorts
2557,32,2.22,8.41,6.51,7.01,9.1,74.89,Low,TikTok
2558,22,3.04,10.15,7.03,8.71,5.73,91.0,Medium,YouTube Shorts
2559,35,2.65,9.53,7.05,8.91,2.5,77.49,High,YouTube Shorts
2560,29,5.25,10.17,7.91,6.06,6.9,48.78,Low,Instagram Reels
2561,15,5.61,8.66,8.11,3.93,3.94,59.11,Medium,Instagram Reels
2562,17,2.17,9.35,4.14,5.77,1.42,84.63,High,TikTok
2563,40,5.25,4.72,7.67,4.23,1.71,84.4,Low,YouTube Shorts
2564,22,4.8,11.93,7.92,3.5,4.81,53.36,Low,YouTube Shorts
2565,18,5.62,3.83,7.5,5.96,8.44,61.28,Medium,TikTok
2566,30,1.85,4.14,7.57,6.92,3.8,40.92,Medium,YouTube Shorts
2567,44,3.67,4.89,4.21,6.32,7.9,59.9,Medium,YouTube Shorts
2568,37,2.01,11.75,6.21,9.59,1.5,41.58,Low,YouTube Shorts
2569,24,5.03,11.88,8.09,3.69,4.54,92.37,Medium,Instagram Reels
2570,26,0.53,9.95,8.67,4.35,2.15,80.0,Medium,YouTube Shorts
2571,28,3.61,8.29,5.15,7.01,8.77,98.15,Medium,TikTok
2572,28,2.37,7.2,6.9,6.4,9.71,93.52,Low,YouTube Shorts
2573,16,2.27,11.71,8.02,1.02,3.93,76.21,Low,YouTube Shorts
2574,37,4.05,8.96,7.76,3.81,9.9,70.18,High,TikTok
2575,19,5.18,11.45,7.09,3.28,7.77,93.02,Low,Instagram Reels
2576,19,3.85,5.17,4.09,8.56,1.01,57.9,Low,TikTok
2577,20,5.19,5.34,7.62,8.8,5.37,53.41,Medium,TikTok
2578,27,1.96,10.55,7.87,3.56,8.51,64.6,Medium,YouTube Shorts
2579,23,3.36,3.5,7.61,1.92,5.8,43.19,Low,TikTok
2580,44,2.98,11.46,7.83,2.85,5.95,58.12,Low,Instagram Reels
2581,36,0.56,7.07,6.15,2.59,5.03,45.02,Medium,TikTok
2582,42,3.56,11.26,8.97,3.14,4.56,43.16,Medium,YouTube Shorts
2583,43,4.14,5.37,7.85,3.11,1.25,73.08,Medium,YouTube Shorts
2584,29,3.76,9.16,6.89,5.32,6.6,82.49,High,TikTok
2585,28,4.55,6.83,8.67,3.88,7.9,72.2,Medium,Instagram Reels
2586,38,3.64,8.27,8.54,6.04,8.11,44.23,High,TikTok
2587,21,0.87,7.04,8.07,4.1,6.62,63.7,Low,YouTube Shorts
2588,39,1.14,11.67,6.82,8.33,4.07,46.66,Medium,TikTok
2589,34,3.78,8.92,6.64,9.56,1.2,79.0,High,Instagram Reels
2590,16,2.01,4.51,5.64,4.64,9.06,89.58,Medium,Instagram Reels
2591,21,0.94,11.1,5.25,1.45,4.86,47.0,Medium,TikTok
2592,20,2.86,4.94,6.56,3.16,6.41,44.01,Low,TikTok
2593,31,3.55,5.72,6.89,1.92,2.75,64.36,High,Instagram Reels
2594,41,2.31,3.02,5.22,4.1,2.28,58.21,High,TikTok
2595,39,4.46,11.0,8.61,6.81,1.78,55.64,Medium,YouTube Shorts
2596,39,4.04,4.86,6.79,5.67,8.19,52.68,Low,YouTube Shorts
2597,42,2.33,4.59,6.63,3.19,6.82,59.02,Low,TikTok
2598,16,4.65,11.2,6.18,7.91,6.59,97.92,Low,YouTube Shorts
2599,17,4.07,10.06,4.29,2.18,9.27,91.46,Medium,YouTube Shorts
2600,19,4.01,3.41,8.41,3.05,2.43,76.08,Low,YouTube Shorts
2601,19,3.54,9.69,5.58,7.08,2.53,88.03,Low,TikTok
2602,15,0.56,11.13,7.21,2.78,2.71,40.88,Low,YouTube Shorts
2603,22,4.33,2.79,7.04,7.11,4.81,46.69,High,YouTube Shorts
2604,26,2.57,10.25,6.92,9.79,8.87,57.55,Low,Instagram Reels
2605,38,5.68,7.47,6.63,8.48,8.93,78.63,Low,YouTube Shorts
2606,18,5.0,8.69,4.91,2.44,6.32,93.0,Medium,YouTube Shorts
2607,27,3.73,6.93,5.4,5.68,6.92,53.87,High,TikTok
2608,37,1.89,8.98,6.62,4.8,9.08,48.35,Low,YouTube Shorts
2609,29,1.62,2.34,7.95,9.93,6.62,90.88,Low,TikTok
2610,25,2.37,9.63,6.16,9.68,3.07,64.55,High,Instagram Reels
2611,24,3.12,2.33,5.02,2.14,7.34,81.97,High,YouTube Shorts
2612,17,2.13,6.55,4.44,9.18,7.93,72.88,Low,Instagram Reels
2613,36,3.33,3.51,7.32,2.74,6.72,50.55,High,Instagram Reels
2614,28,1.41,10.24,6.12,3.88,3.46,82.03,Low,YouTube Shorts
2615,30,5.88,5.14,4.63,4.18,4.6,65.25,High,Instagram Reels
2616,24,1.09,6.54,7.37,3.58,5.24,57.26,Low,YouTube Shorts
2617,43,5.63,6.29,5.04,8.68,2.31,94.16,High,Instagram Reels
2618,24,5.52,9.73,6.55,3.97,5.07,40.36,Low,TikTok
2619,26,3.39,6.81,5.53,8.35,2.45,64.29,High,TikTok
2620,44,4.49,9.89,8.66,9.95,5.5,58.03,High,TikTok
2621,23,2.9,2.74,5.14,8.57,1.46,43.27,Low,TikTok
2622,15,3.97,3.92,6.1,4.12,9.54,44.83,Medium,Instagram Reels
2623,19,2.37,7.52,8.8,7.4,3.22,50.34,High,Instagram Reels
2624,34,2.16,11.47,5.59,5.81,5.2,70.3,Low,Instagram Reels
2625,22,3.68,2.75,7.22,8.08,1.29,56.96,Medium,Instagram Reels
2626,25,3.24,2.43,5.58,2.38,2.73,90.27,Medium,Instagram Reels
2627,26,3.69,3.57,4.55,6.74,7.24,54.4,Low,YouTube Shorts
2628,15,2.08,8.41,7.14,7.96,2.01,83.21,High,TikTok
2629,39,2.52,5.99,8.58,7.85,6.65,52.62,Low,TikTok
2630,36,0.96,10.26,6.26,9.67,1.02,42.55,High,YouTube Shorts
2631,34,0.79,2.72,7.13,1.53,5.19,55.88,Medium,TikTok
2632,42,1.89,3.96,7.04,4.11,7.49,90.25,High,TikTok
2633,39,0.91,5.0,6.08,5.29,9.34,44.94,Low,TikTok
2634,25,1.07,8.27,7.07,3.79,5.44,60.67,Low,YouTube Shorts
2635,19,4.97,8.85,5.3,3.79,8.56,40.48,Medium,Instagram Reels
2636,29,0.71,3.24,5.89,2.59,8.22,77.81,Low,Instagram Reels
2637,19,4.12,11.44,6.21,8.32,3.66,96.57,High,Instagram Reels
2638,26,2.0,5.41,8.32,9.17,8.87,63.06,Low,Instagram Reels
2639,19,5.29,9.13,5.74,1.74,6.76,74.62,Low,TikTok
2640,31,3.17,7.24,7.18,2.39,1.94,67.14,Low,YouTube Shorts
2641,31,2.18,4.23,5.07,3.06,9.45,98.4,High,Instagram Reels
2642,38,3.35,10.46,5.26,5.58,2.59,84.16,High,YouTube Shorts
2643,26,2.6,10.18,7.24,8.12,5.23,42.65,Medium,TikTok
2644,38,3.6,5.96,7.81,1.64,5.2,46.52,High,Instagram Reels
2645,42,1.13,7.89,6.31,6.73,6.63,68.23,Low,TikTok
2646,29,5.98,4.58,5.68,2.34,6.98,77.9,Low,TikTok
2647,29,2.84,8.9,8.55,9.74,3.1,57.42,High,Instagram Reels
2648,20,2.42,5.09,4.68,9.09,4.17,80.48,High,YouTube Shorts
2649,26,4.41,10.44,7.6,9.55,2.3,74.59,Medium,Instagram Reels
2650,41,2.5,4.17,7.45,1.96,2.13,66.11,High,TikTok
2651,43,5.08,2.15,7.45,5.39,8.43,74.94,Medium,YouTube Shorts
2652,34,3.0,4.69,8.68,2.49,7.76,94.99,Medium,YouTube Shorts
2653,32,4.46,3.91,7.64,6.4,4.98,54.59,High,Instagram Reels
2654,28,1.09,7.08,5.51,3.09,1.86,87.47,Medium,Instagram Reels
2655,16,5.15,4.04,5.77,7.94,5.05,40.72,Medium,Instagram Reels
2656,23,4.55,9.63,5.96,6.8,3.65,45.09,Low,YouTube Shorts
2657,19,1.66,4.41,4.15,6.14,8.0,96.98,Low,YouTube Shorts
2658,34,1.3,9.07,8.57,8.43,1.87,81.86,Low,Instagram Reels
2659,40,2.24,7.78,4.37,5.5,5.06,78.0,High,TikTok
2660,43,5.87,11.86,7.5,3.43,6.32,60.04,Low,YouTube Shorts
2661,15,1.91,12.0,7.65,6.59,9.87,51.06,Medium,TikTok
2662,37,3.01,10.7,8.22,9.61,1.81,62.79,Low,Instagram Reels
2663,17,0.67,9.6,6.77,6.41,2.03,75.9,Low,Instagram Reels
2664,20,2.68,5.86,7.63,6.67,9.89,78.06,High,TikTok
2665,19,3.64,9.53,5.51,9.41,4.65,50.17,High,Instagram Reels
2666,35,5.74,11.57,7.73,5.64,7.69,66.73,High,TikTok
2667,41,3.34,2.23,5.72,9.97,8.05,74.01,High,TikTok
2668,19,5.01,7.38,8.51,2.44,3.83,97.6,Low,YouTube Shorts
2669,15,3.51,4.18,4.82,5.83,2.93,72.97,Medium,TikTok
2670,31,0.72,7.58,5.58,2.92,3.48,74.84,Medium,Instagram Reels
2671,33,2.23,6.66,6.49,5.08,7.88,85.91,Low,Instagram Reels
2672,28,3.67,7.76,7.88,2.54,8.56,65.13,Medium,Instagram Reels
2673,26,5.73,7.51,7.74,3.0,7.3,63.03,Medium,Instagram Reels
2674,24,5.23,11.6,5.05,2.9,4.97,75.45,Low,Instagram Reels
2675,34,1.76,7.52,4.72,3.88,3.36,87.0,High,YouTube Shorts
2676,35,1.71,10.46,5.52,2.21,4.83,78.25,Low,YouTube Shorts
2677,32,1.61,5.2,6.42,8.28,9.23,51.17,High,YouTube Shorts
2678,38,5.57,6.38,6.7,2.99,8.77,63.86,Medium,TikTok
2679,41,5.19,6.7,6.15,4.75,3.91,70.76,High,YouTube Shorts
2680,25,4.76,4.79,7.32,1.14,3.95,71.42,High,TikTok
2681,44,2.66,5.8,6.14,1.94,8.02,60.38,Medium,TikTok
